x,y,p_xx,p_xy,p_yy,landmark_detected
-0.0242994,0.036512,0.0431331,0.033585,0.0429285,0
-0.024194,0.0365161,0.0431439,0.0335884,0.042936,0
-0.024194,0.0365161,0.0431439,0.0335884,0.042936,0
-0.0241245,0.0365189,0.0431544,0.0335908,0.0429413,0
-0.0241245,0.0365189,0.0431544,0.0335908,0.0429413,0
-0.024014,0.0365233,0.0431652,0.0335944,0.0429491,0
-0.024014,0.0365233,0.0431652,0.0335944,0.0429491,0
-0.0239774,0.0365248,0.0431755,0.0335958,0.0429524,0
-0.0239774,0.0365248,0.0431755,0.0335958,0.0429524,0
-0.0239506,0.0365259,0.0431857,0.033597,0.0429551,0
-0.0239506,0.0365259,0.0431857,0.033597,0.0429551,0
-0.0238831,0.0365286,0.0431962,0.0335993,0.0429603,0
-0.0238831,0.0365286,0.0431962,0.0335993,0.0429603,0
-0.0237911,0.0365324,0.0432069,0.0336024,0.0429669,0
-0.0237911,0.0365324,0.0432069,0.0336024,0.0429669,0
-0.0237911,0.0365324,0.0432069,0.0336024,0.0429669,0
-0.0237268,0.036535,0.0432173,0.0336046,0.0429719,0
-0.0236823,0.0365367,0.0432276,0.0336063,0.0429757,0
-0.0236823,0.0365367,0.0432276,0.0336063,0.0429757,0
-0.0236738,0.0365371,0.0432377,0.0336069,0.0429772,0
-0.0236738,0.0365371,0.0432377,0.0336069,0.0429772,0
-0.0236738,0.0365371,0.0432377,0.0336069,0.0429772,0
-0.0236042,0.0365398,0.0432482,0.0336093,0.0429825,0
-0.0235215,0.0365432,0.0432588,0.033612,0.0429887,0
-0.0235215,0.0365432,0.0432588,0.033612,0.0429887,0
-0.0233746,0.0365492,0.0432699,0.0336167,0.0429987,0
-0.0233746,0.0365492,0.0432699,0.0336167,0.0429987,0
